Publikation;Erscheinungstag;Druckprodukt;Startzeit;Produktionsende;Geplante Auflage;Sektion;Papiername;Planungskommentar;?txt_PagesInBroadSheets;Struktur
Sonntag, 6. Januar 2013
AZ;2013-01-07;WE;2013-01-06 21:10:00;2013-01-06 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-07;FU;2013-01-06 21:38:00;2013-01-06 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-07;IS;2013-01-06 22:09:00;2013-01-06 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-07;ME;2013-01-06 22:52:00;2013-01-06 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-07;KF;2013-01-06 23:39:00;2013-01-06 23:58:00;12300;F1;45 g - Standard;;;
TEST;2013-01-06;SO;2013-01-06 12:01:00;2013-01-06 12:02:00;1;F2;45 g - Standard;;;
Montag, 7. Januar 2013
AZ;2013-01-07;BU;2013-01-07 00:13:00;2013-01-07 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-01-07;MO;2013-01-07 00:35:00;2013-01-07 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-01-07;KE;2013-01-07 01:05:00;2013-01-07 01:42:00;24300;F1;45 g - Standard;;;
MDG;2013-01-10;KM_B;2013-01-07 07:40:00;2013-01-07 10:44:00;245000;F1;45 g - Standard;Werkauftrag-Planungskommenta;;
HF;2013-01-08;IS_0;2013-01-07 12:10:00;2013-01-07 13:12:00;41000;F1;52 g - UPM Brite 69C;;;
AZ;2013-01-08;WE;2013-01-07 21:10:00;2013-01-07 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-08;FU;2013-01-07 21:38:00;2013-01-07 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-08;IS;2013-01-07 22:09:00;2013-01-07 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-08;ME;2013-01-07 22:52:00;2013-01-07 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-08;KF;2013-01-07 23:39:00;2013-01-07 23:58:00;12300;F1;45 g - Standard;;;
Dienstag, 8. Januar 2013
AZ;2013-01-08;BU;2013-01-08 00:13:00;2013-01-08 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-01-08;MO;2013-01-08 00:35:00;2013-01-08 00:50:00;9700;F1;45 g - Standard;;;
AZ;2013-01-08;KE;2013-01-08 01:05:00;2013-01-08 01:42:00;24300;F1;45 g - Standard;;;
EX;2013-01-11;EXA_01;2013-01-08 09:10:00;2013-01-08 10:44:00;125000;F1;45 g - Standard;;;
MDG;2013-01-10;Saturn;2013-01-08 11:55:00;2013-01-08 13:05:00;92000;F1;45 g - Standard;;;
WA;2013-01-09;EIS;2013-01-08 14:10:00;2013-01-08 15:06:00;37000;F1;45 g - Standard;;;
WA;2013-01-09;EFU;2013-01-08 15:21:00;2013-01-08 16:01:00;26000;F1;45 g - Standard;;;
AZ;2013-01-09;WE;2013-01-08 21:10:00;2013-01-08 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-09;FU;2013-01-08 21:38:00;2013-01-08 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-09;IS;2013-01-08 22:09:00;2013-01-08 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-09;ME;2013-01-08 22:52:00;2013-01-08 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-09;KF;2013-01-08 23:39:00;2013-01-09 00:16:00;24300;F1;45 g - Standard;;;
Mittwoch, 9. Januar 2013
AZ;2013-01-09;BU;2013-01-09 00:31:00;2013-01-09 00:38:00;4200;F1;45 g - Standard;;;
AZ;2013-01-09;MO;2013-01-09 00:53:00;2013-01-09 01:08:00;9700;F1;45 g - Standard;;;
AZ;2013-01-09;KE;2013-01-09 01:23:00;2013-01-09 02:00:00;24300;F1;45 g - Standard;;;
WA;2013-01-10;EKE;2013-01-09 10:10:00;2013-01-09 10:53:00;57000;F1;45 g - Standard;;;
WA;2013-01-10;EKF;2013-01-09 11:08:00;2013-01-09 11:54:00;61000;F1;45 g - Standard;;;
WA;2013-01-10;EME;2013-01-09 12:09:00;2013-01-09 12:46:00;49000;F1;45 g - Standard;;;
MDG;2013-01-11;Papst;2013-01-09 16:10:00;2013-01-09 16:26:00;10000;F1;52 g - UPM Brite 69C;;;
AZ;2013-01-10;WE;2013-01-09 21:10:00;2013-01-09 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-10;FU;2013-01-09 21:38:00;2013-01-09 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-10;IS;2013-01-09 22:09:00;2013-01-09 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-10;ME;2013-01-09 22:52:00;2013-01-09 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-10;KF;2013-01-09 23:39:00;2013-01-10 00:16:00;24300;F1;45 g - Standard;;;
Donnerstag, 10. Januar 2013
MDG;2013-01-17;KM_MUC;2013-01-10 13:10:00;2013-01-10 13:35:00;32000;;45 g - Standard;;;
MDG;2013-01-17;KM_GAP;2013-01-10 13:50:00;2013-01-10 14:05:00;19000;;45 g - Standard;;;
AZ;2013-01-10;BU;2013-01-10 00:31:00;2013-01-10 00:38:00;4200;F1;45 g - Standard;;;
AZ;2013-01-10;KE;2013-01-10 00:53:00;2013-01-10 01:30:00;24300;F1;45 g - Standard;;;
AZ;2013-01-10;MO;2013-01-10 01:45:00;2013-01-10 02:00:00;9700;F1;45 g - Standard;;;
MDG;2013-01-17;KM_E;2013-01-10 12:40:00;2013-01-10 13:02:00;29000;F1;45 g - Standard;;;
MDG;2013-01-17;KM_A;2013-01-10 14:27:00;2013-01-10 16:15:00;143000;F1;45 g - Standard;;;
WA;2013-01-12;ESA_1;2013-01-10 16:40:00;2013-01-10 17:30:00;33000;F1;45 g - Standard;;;
WA;2013-01-12;ESA;2013-01-10 17:45:00;2013-01-10 19:47:00;81000;F1;45 g - Standard;;;
AZ;2013-01-11;WE;2013-01-10 21:10:00;2013-01-10 21:23:00;8500;F1;45 g - Standard;;;
AZ;2013-01-11;FU;2013-01-10 21:38:00;2013-01-10 21:54:00;10600;F1;45 g - Standard;;;
AZ;2013-01-11;IS;2013-01-10 22:09:00;2013-01-10 22:37:00;18000;F1;45 g - Standard;;;
AZ;2013-01-11;ME;2013-01-10 22:52:00;2013-01-10 23:24:00;21300;F1;45 g - Standard;;;
AZ;2013-01-11;KF;2013-01-10 23:39:00;2013-01-10 23:58:00;12300;F1;45 g - Standard;;;
Freitag, 11. Januar 2013
AZ;2013-01-11;BU;2013-01-11 00:13:00;2013-01-11 00:20:00;4200;F1;45 g - Standard;;;
AZ;2013-01-11;MO;2013-01-11 00:35:00;2013-01-11 00:50:00;9700;F1;45 g - Standard;;;
